House,Perfume,Accords,Cost,Projection,Longevity,Popularity,Personal Opinion,Notes
Maison Francis Kurkdjian,724,white floral; aldehydic; musky; citrus; fresh,$$,average,average,,,
Maison Francis Kurkdjian,Amyris Femme,woody; aromatic; citrus; iris; powdery; white floral,$$,average,average,,,
Maison Francis Kurkdjian,Amyris Homme,aromatic; woody; citrus; sweet; vanilla; iris,$$,average,average,,,Niche 1 Million
Maison Francis Kurkdjian,Amyris Homme Extrait,vanilla; woody; aromatic; warm spicy; iris; citrus,$$$,average,average,,,
Maison Francis Kurkdjian,Aqua Celestia Cologne Forte,fruity; citrus; musky; powdery; floral; fresh spicy,$$,average,long,,👍,Smells like sprite
Maison Francis Kurkdjian,Aqua Media Cologne Forte,citrus; green; fresh; powdery; soft spicy; floral,$$,average,long,,,Cilantro
Maison Francis Kurkdjian,Aqua Universalis,citrus; white floral; fresh; musky; aromatic; green,$$,weak,short,,,Beautiful but short duration
Maison Francis Kurkdjian,Aqua Universalis Cologne Forte,musky; citrus; sweet; floral; white floral; powdery,$$,average,long,,,Dryer sheets
Maison Francis Kurkdjian,Aqua Universalis Forte,white floral; citrus; musky; aromatic; powdery,$$,average,short,,,More floral version
Maison Francis Kurkdjian,Aqua Vitae Cologne Forte,citrus; floral; musky; powdery; aldehydic; woody,$$,average,long,,,????
Maison Francis Kurkdjian,Baccarat Rouge 540,woody; amber; warm spicy; fresh spicy; aromatic,$$,strong,long,,,Formaldehyde
Maison Francis Kurkdjian,Gentle Fluidity Silver,aromatic; fresh spicy; woody; musky; powdery; amber,$$,strong,long,,,
Maison Francis Kurkdjian,Grand Soir,amber; vanilla,$$,average,average,,👍,Friggen good
Maison Francis Kurkdjian,L'Homme A La Rose,rose; amber; citrus; woody; aromatic; herbal,$$,average,average,,,Beautiful green rose opening that becomes a strong sage
Maison Francis Kurkdjian,Oud,warm spicy; oud; aromatic; woody; balsamic,$$,average,average,,,Clean woody spicy
Maison Francis Kurkdjian,Oud Satin Mood,rose; vanilla; oud; powdery; violet; amber; floral,$$,strong,long,very,,
Maison Francis Kurkdjian,Oud Satin Mood Extrait,rose; oud; powdery; vanilla; violet; floral; amber,$$$,strong,long,,,
Maison Francis Kurkdjian,Petit Matin,citrus; musky; white floral; aromatic; lavender,$$,strong,long,,,
Imaginary Authors,A City On Fire,woody; aromatic; smoky; fresh spicy; amber,$,average,average,,,Burning tires
Imaginary Authors,A Whiff Of Waffle Cone,vanilla; cinnamon; caramel; warm spicy; sweet,$,average,average,,👍,
Imaginary Authors,Bull's Blood,rose; woody; tobacco; musky; patchouli; warm spicy,$,average,average,,,
Imaginary Authors,Cape Heartache,woody; aromatic; sweet; conifer; fruity; fresh spicy,$,average,average,,,
Imaginary Authors,Every Storm A Seranade,aromatic; woody; marine; green; fresh; amber; earthy,$,average,average,,,Ocean
Imaginary Authors,Falling Into The Sea,citrus; floral; sand; aromatic; fresh spicy; fuity; fresh,$,average,average,,,Beach
Imaginary Authors,Fox In The Flowerbed,white floral; floral; fresh; honey; ozonic; amber,$,average,average,,👍,Jasmine and Honey
